job_201501270512_0002	1422353644	24	105039794	104776874	105040274
job0	49	49	740773	2339561	627471
job1	101	52	736346	1700537	432269
job2	122	21	267631	594312	233549
job3	197	75	233422	42	37
job4	208	11	3623279	0	9838062
job5	349	141	233422	324968	10974
job6	373	24	2497901	0	551304
job7	379	6	233422	256459	8835
job8	463	84	2193083	2660213	560397
job9	487	24	1010097	2369060	968271
job10	497	10	19555	0	41471
job11	609	112	968144	41	35
job12	666	57	968144	2326546	14369
job13	698	32	968144	5072	2411
job14	724	26	16526	0	34635
job15	930	206	62032	110249	49133
job16	1112	182	49006	41	37
job17	1128	16	10274791099	13024975762	3600817163
job18	1180	52	49006	57406	11871
job19	1185	5	4776464612	2744661563	1084547
job20	1187	2	4228	8456	127
job21	1214	27	49006	50728	12181
job21	1214	27	49006	50728	12181
job23	1262	28	23798	0	49034
job23	1262	28	23798	0	49034
job25	1420	135	23042116	44795750	71684305
job26	1453	33	1083912	4761106	804562
job27	1496	43	804435	7474262	804562
job28	1525	29	160296	314626	136937
job29	1665	140	136810	40	36
job30	1669	4	136810	310392	19414
job31	1700	31	1043799029	3220465724	2645916
job32	1725	25	136810	817	699
job33	1746	21	19859	0	41738
